config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,batch_size,seed,training_time,actual_hidden_units
1,0.6428427822838443,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.01,8,42,0.027508974075317383,1
2,0.6337231402949483,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.01,8,123,0.031172513961791992,1
3,0.6066108467617799,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.01,8,456,0.05373668670654297,3
4,0.6881568457411372,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.01,16,42,0.029018878936767578,1
5,0.6263067377713777,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.01,16,123,0.055985212326049805,3
6,0.6632718514231234,0.6921296296296297,0.04353032060400154,3,True,"(-0.1, 0.1)",0.01,16,456,0.037467241287231445,2
7,0.7319534247336411,0.6967592592592593,0.04334603194892665,3,True,"(-0.1, 0.1)",0.01,32,42,0.0326390266418457,2
8,0.6814080131625205,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.01,32,123,0.05244016647338867,3
9,0.6640936036124213,0.6898148148148148,0.04362053444917033,3,True,"(-0.1, 0.1)",0.01,32,456,0.06520485877990723,3
10,0.6001282101429983,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.05,8,42,0.049057960510253906,2
11,0.6014045573026015,0.7013888888888888,0.04315654019155662,3,True,"(-0.1, 0.1)",0.05,8,123,0.03075861930847168,1
12,0.6141093164369918,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.05,8,456,0.015472412109375,0
13,0.5853301642674615,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.05,16,42,0.07053351402282715,3
14,0.5905687922349635,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.05,16,123,0.05044817924499512,3
15,0.6011753337521613,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.05,16,456,0.025224685668945312,1
16,0.6080996362026967,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.05,32,42,0.04782247543334961,2
17,0.5913241363821029,0.7152777777777778,0.04255614172615777,3,True,"(-0.1, 0.1)",0.05,32,123,0.06397247314453125,3
18,0.6045483684135937,0.7037037037037037,0.043059821757163316,3,True,"(-0.1, 0.1)",0.05,32,456,0.03527402877807617,2
19,0.6120974836010324,0.6481481481481481,0.04503303951737602,3,True,"(-0.1, 0.1)",0.1,8,42,0.07924175262451172,3
20,0.6223346828723203,0.7314814814814815,0.04179294612103568,3,True,"(-0.1, 0.1)",0.1,8,123,0.07971477508544922,3
21,0.5987873353597233,0.5972222222222222,0.04625033984477027,3,True,"(-0.1, 0.1)",0.1,8,456,0.07840490341186523,3
22,0.5842134660211308,0.6875,0.043709471969068846,3,True,"(-0.1, 0.1)",0.1,16,42,0.07159686088562012,3
23,0.6028974805931732,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.1,16,123,0.07192349433898926,3
24,0.5918083232042072,0.6736111111111112,0.0442167178128923,3,True,"(-0.1, 0.1)",0.1,16,456,0.06791877746582031,3
25,0.6018012041393246,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.1,32,42,0.022043704986572266,1
26,0.6011959556747791,0.7106481481481481,0.042761668790578904,3,True,"(-0.1, 0.1)",0.1,32,123,0.02534317970275879,1
27,0.5922725773982616,0.7037037037037037,0.043059821757163316,3,True,"(-0.1, 0.1)",0.1,32,456,0.04364919662475586,3
28,0.5974623444728246,0.7361111111111112,0.04156199988267923,3,True,"(-0.5, 0.5)",0.01,8,42,0.05771803855895996,3
29,0.6246520931722979,0.7060185185185185,0.04296177648388593,3,True,"(-0.5, 0.5)",0.01,8,123,0.03194761276245117,1
30,0.6091704100473869,0.6064814814814815,0.04606865760039766,3,True,"(-0.5, 0.5)",0.01,8,456,0.050392866134643555,3
31,0.6175407392835646,0.7337962962962963,0.04167820461154819,3,True,"(-0.5, 0.5)",0.01,16,42,0.06026887893676758,3
32,0.653348751657402,0.7175925925925926,0.04245132141296492,3,True,"(-0.5, 0.5)",0.01,16,123,0.036617279052734375,2
33,0.6315227154214684,0.5856481481481481,0.04645337015720498,3,True,"(-0.5, 0.5)",0.01,16,456,0.05856060981750488,3
34,0.6666249349421794,0.7222222222222222,0.042237516181770254,3,True,"(-0.5, 0.5)",0.01,32,42,0.06407928466796875,3
35,0.6562431370454191,0.7291666666666666,0.04190623643026144,3,True,"(-0.5, 0.5)",0.01,32,123,0.06271910667419434,3
36,0.6834359453229809,0.5601851851851852,0.046807444885269014,3,True,"(-0.5, 0.5)",0.01,32,456,0.06189084053039551,3
37,0.6109671462940687,0.7083333333333334,0.04286239526652166,3,True,"(-0.5, 0.5)",0.05,8,42,0.01523137092590332,0
38,0.6011499146378227,0.7060185185185185,0.04296177648388593,3,True,"(-0.5, 0.5)",0.05,8,123,0.030529260635375977,1
39,0.5914575515055346,0.5555555555555556,0.0468583170281885,3,True,"(-0.5, 0.5)",0.05,8,456,0.07883739471435547,3
40,0.5995538556317771,0.6805555555555556,0.04396870347192746,3,True,"(-0.5, 0.5)",0.05,16,42,0.022899389266967773,1
41,0.6209358337064633,0.7175925925925926,0.04245132141296492,3,True,"(-0.5, 0.5)",0.05,16,123,0.014954805374145508,0
42,0.6025138037537424,0.7013888888888888,0.04315654019155662,3,True,"(-0.5, 0.5)",0.05,16,456,0.02437305450439453,1
43,0.594172745246049,0.7430555555555556,0.041204481803583874,3,True,"(-0.5, 0.5)",0.05,32,42,0.04409933090209961,3
44,0.6166700425465238,0.7060185185185185,0.04296177648388593,3,True,"(-0.5, 0.5)",0.05,32,123,0.023535490036010742,1
45,0.5994739304039887,0.6157407407407407,0.04586963807879957,3,True,"(-0.5, 0.5)",0.05,32,456,0.04522514343261719,3
46,0.6120932091422772,0.6875,0.043709471969068846,3,True,"(-0.5, 0.5)",0.1,8,42,0.07707810401916504,3
47,0.6223288171628679,0.7384259259259259,0.041444319626373946,3,True,"(-0.5, 0.5)",0.1,8,123,0.0787804126739502,3
48,0.5987874334018431,0.5277777777777778,0.04707745298749356,3,True,"(-0.5, 0.5)",0.1,8,456,0.07846212387084961,3
49,0.5842080055359644,0.7268518518518519,0.04201808727752391,3,True,"(-0.5, 0.5)",0.1,16,42,0.06717586517333984,3
50,0.6028798990077232,0.7199074074074074,0.042345116380007104,3,True,"(-0.5, 0.5)",0.1,16,123,0.06859874725341797,3
51,0.5918111174341018,0.5902777777777778,0.0463753472478825,3,True,"(-0.5, 0.5)",0.1,16,456,0.0667421817779541,3
52,0.6359953441853236,0.7037037037037037,0.043059821757163316,3,True,"(-0.5, 0.5)",0.1,32,42,0.0206301212310791,0
53,0.597074730101466,0.7083333333333334,0.04286239526652166,3,True,"(-0.5, 0.5)",0.1,32,123,0.02456212043762207,1
54,0.5924389338635817,0.6134259259259259,0.045921030320829205,3,True,"(-0.5, 0.5)",0.1,32,456,0.043358564376831055,3
55,0.6039032854854545,0.7337962962962963,0.04167820461154819,3,True,"(-1.0, 1.0)",0.01,8,42,0.05001950263977051,3
56,0.5985450932747992,0.7268518518518519,0.04201808727752391,3,True,"(-1.0, 1.0)",0.01,8,123,0.05979800224304199,3
57,0.5954357956080173,0.5277777777777778,0.04707745298749356,3,True,"(-1.0, 1.0)",0.01,8,456,0.07783293724060059,3
58,0.6233200815205396,0.7291666666666666,0.04190623643026144,3,True,"(-1.0, 1.0)",0.01,16,42,0.06825637817382812,3
59,0.6214364734473965,0.7361111111111112,0.04156199988267923,3,True,"(-1.0, 1.0)",0.01,16,123,0.05973410606384277,3
60,0.6572837521776348,0.5254629629629629,0.04708909135602229,3,True,"(-1.0, 1.0)",0.01,16,456,0.056624412536621094,3
61,0.7864472374211698,0.6805555555555556,0.04396870347192746,3,True,"(-1.0, 1.0)",0.01,32,42,0.06314253807067871,3
62,0.6907211545951114,0.7175925925925926,0.04245132141296492,3,True,"(-1.0, 1.0)",0.01,32,123,0.06381964683532715,3
63,0.7412979274596276,0.5231481481481481,0.04709971518089493,3,True,"(-1.0, 1.0)",0.01,32,456,0.06370019912719727,3
64,0.5996113792548352,0.6782407407407407,0.044052611738053714,3,True,"(-1.0, 1.0)",0.05,8,42,0.04886341094970703,2
65,0.6011067639490293,0.7314814814814815,0.04179294612103568,3,True,"(-1.0, 1.0)",0.05,8,123,0.0783078670501709,3
66,0.5914585517192402,0.5138888888888888,0.0471320777821064,3,True,"(-1.0, 1.0)",0.05,8,456,0.07771468162536621,3
67,0.5847279647945511,0.7268518518518519,0.04201808727752391,3,True,"(-1.0, 1.0)",0.05,16,42,0.06831932067871094,3
68,0.597876924387992,0.6851851851851852,0.0437971409390823,3,True,"(-1.0, 1.0)",0.05,16,123,0.026719331741333008,1
69,0.5881857682080853,0.5254629629629629,0.04708909135602229,3,True,"(-1.0, 1.0)",0.05,16,456,0.0695960521697998,3
70,0.6131424869844923,0.6689814814814815,0.04437592217750578,3,True,"(-1.0, 1.0)",0.05,32,42,0.029851913452148438,2
71,0.5896736304263074,0.7337962962962963,0.04167820461154819,3,True,"(-1.0, 1.0)",0.05,32,123,0.06272339820861816,3
72,0.6441731496830682,0.6805555555555556,0.04396870347192746,3,True,"(-1.0, 1.0)",0.05,32,456,0.024140357971191406,1
73,0.612080647994108,0.6805555555555556,0.04396870347192746,3,True,"(-1.0, 1.0)",0.1,8,42,0.07729220390319824,3
74,0.6223162828561827,0.7337962962962963,0.04167820461154819,3,True,"(-1.0, 1.0)",0.1,8,123,0.07825183868408203,3
75,0.5987874708290458,0.5023148148148148,0.047149766684129846,3,True,"(-1.0, 1.0)",0.1,8,456,0.07757115364074707,3
76,0.5841963392455461,0.7037037037037037,0.043059821757163316,3,True,"(-1.0, 1.0)",0.1,16,42,0.06931519508361816,3
77,0.602844601885071,0.7291666666666666,0.04190623643026144,3,True,"(-1.0, 1.0)",0.1,16,123,0.06930875778198242,3
78,0.5918122191456433,0.5185185185185185,0.047117921879164464,3,True,"(-1.0, 1.0)",0.1,16,456,0.0684347152709961,3
79,0.5890942764828817,0.6689814814814815,0.04437592217750578,3,True,"(-1.0, 1.0)",0.1,32,42,0.03701353073120117,2
80,0.592219883976949,0.7314814814814815,0.04179294612103568,3,True,"(-1.0, 1.0)",0.1,32,123,0.06425213813781738,3
81,0.5889287921485095,0.5277777777777778,0.04707745298749356,3,True,"(-1.0, 1.0)",0.1,32,456,0.0635678768157959,3
102,0.6183299562293263,0.7106481481481481,0.042761668790578904,3,False,"(-0.1, 0.1)",0.1,8,456,0.02075934410095215,0
107,0.6221970182403472,0.7060185185185185,0.04296177648388593,3,False,"(-0.1, 0.1)",0.1,32,123,0.017589569091796875,0
129,0.6184311058729463,0.7106481481481481,0.042761668790578904,3,False,"(-0.5, 0.5)",0.1,8,456,0.020505189895629883,0
130,0.6081605013637761,0.7037037037037037,0.043059821757163316,3,False,"(-0.5, 0.5)",0.1,16,42,0.014892816543579102,0
156,0.6185452404146186,0.7083333333333334,0.04286239526652166,3,False,"(-1.0, 1.0)",0.1,8,456,0.020779132843017578,0
163,0.6428427822838443,0.7060185185185185,0.04296177648388593,4,True,"(-0.1, 0.1)",0.01,8,42,0.025821924209594727,1
164,0.6337231402949483,0.7129629629629629,0.04265958752691199,4,True,"(-0.1, 0.1)",0.01,8,123,0.02966451644897461,1
165,0.6066108467617799,0.7083333333333334,0.04286239526652166,4,True,"(-0.1, 0.1)",0.01,8,456,0.05075860023498535,3
166,0.6881568457411372,0.7060185185185185,0.04296177648388593,4,True,"(-0.1, 0.1)",0.01,16,42,0.025717496871948242,1
167,0.6263067377713777,0.7083333333333334,0.04286239526652166,4,True,"(-0.1, 0.1)",0.01,16,123,0.05324220657348633,3
168,0.6632718514231234,0.6921296296296297,0.04353032060400154,4,True,"(-0.1, 0.1)",0.01,16,456,0.036530256271362305,2
169,0.7319534247336411,0.6967592592592593,0.04334603194892665,4,True,"(-0.1, 0.1)",0.01,32,42,0.031009912490844727,2
170,0.6814080131625205,0.7083333333333334,0.04286239526652166,4,True,"(-0.1, 0.1)",0.01,32,123,0.050457000732421875,3
171,0.6637645744928617,0.6967592592592593,0.04334603194892665,4,True,"(-0.1, 0.1)",0.01,32,456,0.06286239624023438,4
172,0.6001282101429983,0.7129629629629629,0.04265958752691199,4,True,"(-0.1, 0.1)",0.05,8,42,0.04802703857421875,2
173,0.6014045573026015,0.7013888888888888,0.04315654019155662,4,True,"(-0.1, 0.1)",0.05,8,123,0.0318603515625,1
174,0.6141093164369918,0.7129629629629629,0.04265958752691199,4,True,"(-0.1, 0.1)",0.05,8,456,0.016075611114501953,0
175,0.5912465965275273,0.7199074074074074,0.042345116380007104,4,True,"(-0.1, 0.1)",0.05,16,42,0.0641331672668457,4
176,0.5905687922349635,0.7129629629629629,0.04265958752691199,4,True,"(-0.1, 0.1)",0.05,16,123,0.0497589111328125,3
177,0.6011753337521613,0.7060185185185185,0.04296177648388593,4,True,"(-0.1, 0.1)",0.05,16,456,0.024231433868408203,1
178,0.6080996362026967,0.7060185185185185,0.04296177648388593,4,True,"(-0.1, 0.1)",0.05,32,42,0.034058570861816406,2
179,0.592350509829799,0.7060185185185185,0.04296177648388593,4,True,"(-0.1, 0.1)",0.05,32,123,0.06313920021057129,4
180,0.6045483684135937,0.7037037037037037,0.043059821757163316,4,True,"(-0.1, 0.1)",0.05,32,456,0.03511214256286621,2
181,0.6126602278677399,0.7245370370370371,0.0421285101281036,4,True,"(-0.1, 0.1)",0.1,8,42,0.07857346534729004,4
182,0.5951532749695535,0.6597222222222222,0.04467983375412043,4,True,"(-0.1, 0.1)",0.1,8,123,0.08028078079223633,4
183,0.6432959957758911,0.7060185185185185,0.04296177648388593,4,True,"(-0.1, 0.1)",0.1,8,456,0.07807731628417969,4
184,0.6000826004817801,0.7199074074074074,0.042345116380007104,4,True,"(-0.1, 0.1)",0.1,16,42,0.0630035400390625,4
185,0.5909755636116852,0.6944444444444444,0.043438822481537555,4,True,"(-0.1, 0.1)",0.1,16,123,0.06835436820983887,4
186,0.6075538532686537,0.7175925925925926,0.04245132141296492,4,True,"(-0.1, 0.1)",0.1,16,456,0.06914663314819336,4
187,0.6018012041393246,0.7083333333333334,0.04286239526652166,4,True,"(-0.1, 0.1)",0.1,32,42,0.022695064544677734,1
188,0.6011959556747791,0.7106481481481481,0.042761668790578904,4,True,"(-0.1, 0.1)",0.1,32,123,0.02402353286743164,1
189,0.5922725773982616,0.7037037037037037,0.043059821757163316,4,True,"(-0.1, 0.1)",0.1,32,456,0.04403972625732422,3
190,0.5974623444728246,0.7361111111111112,0.04156199988267923,4,True,"(-0.5, 0.5)",0.01,8,42,0.05941057205200195,3
191,0.6246520931722979,0.7060185185185185,0.04296177648388593,4,True,"(-0.5, 0.5)",0.01,8,123,0.03156900405883789,1
192,0.6091704100473869,0.6064814814814815,0.04606865760039766,4,True,"(-0.5, 0.5)",0.01,8,456,0.05254054069519043,3
193,0.6097725276559994,0.7430555555555556,0.041204481803583874,4,True,"(-0.5, 0.5)",0.01,16,42,0.0721592903137207,4
194,0.653348751657402,0.7175925925925926,0.04245132141296492,4,True,"(-0.5, 0.5)",0.01,16,123,0.03708696365356445,2
195,0.6347781766141295,0.6689814814814815,0.04437592217750578,4,True,"(-0.5, 0.5)",0.01,16,456,0.05864214897155762,4
196,0.6676992732573036,0.7361111111111112,0.04156199988267923,4,True,"(-0.5, 0.5)",0.01,32,42,0.0654606819152832,4
197,0.6563303359419678,0.7175925925925926,0.04245132141296492,4,True,"(-0.5, 0.5)",0.01,32,123,0.06450867652893066,4
198,0.6830457499803659,0.6388888888888888,0.04529468996677315,4,True,"(-0.5, 0.5)",0.01,32,456,0.06528186798095703,4
199,0.6109671462940687,0.7083333333333334,0.04286239526652166,4,True,"(-0.5, 0.5)",0.05,8,42,0.016178131103515625,0
200,0.6011499146378227,0.7060185185185185,0.04296177648388593,4,True,"(-0.5, 0.5)",0.05,8,123,0.03145885467529297,1
201,0.6126887339101613,0.6967592592592593,0.04334603194892665,4,True,"(-0.5, 0.5)",0.05,8,456,0.08171653747558594,4
202,0.5995538556317771,0.6805555555555556,0.04396870347192746,4,True,"(-0.5, 0.5)",0.05,16,42,0.04022932052612305,1
203,0.6209358337064633,0.7175925925925926,0.04245132141296492,4,True,"(-0.5, 0.5)",0.05,16,123,0.014853715896606445,0
204,0.6025138037537424,0.7013888888888888,0.04315654019155662,4,True,"(-0.5, 0.5)",0.05,16,456,0.024275779724121094,1
205,0.594172745246049,0.7430555555555556,0.041204481803583874,4,True,"(-0.5, 0.5)",0.05,32,42,0.04465532302856445,3
206,0.6166700425465238,0.7060185185185185,0.04296177648388593,4,True,"(-0.5, 0.5)",0.05,32,123,0.024698972702026367,1
207,0.5994739304039887,0.6157407407407407,0.04586963807879957,4,True,"(-0.5, 0.5)",0.05,32,456,0.04416203498840332,3
208,0.6126555068361336,0.75,0.04083333333333333,4,True,"(-0.5, 0.5)",0.1,8,42,0.07942867279052734,4
209,0.595149034546839,0.6805555555555556,0.04396870347192746,4,True,"(-0.5, 0.5)",0.1,8,123,0.08197617530822754,4
210,0.6432968255516177,0.6921296296296297,0.04353032060400154,4,True,"(-0.5, 0.5)",0.1,8,456,0.0796966552734375,4
211,0.6000446737103367,0.75,0.04083333333333333,4,True,"(-0.5, 0.5)",0.1,16,42,0.06577205657958984,4
212,0.5909604761938856,0.7013888888888888,0.04315654019155662,4,True,"(-0.5, 0.5)",0.1,16,123,0.07059860229492188,4
213,0.6075587988327686,0.7083333333333334,0.04286239526652166,4,True,"(-0.5, 0.5)",0.1,16,456,0.07326292991638184,4
214,0.6359953441853236,0.7037037037037037,0.043059821757163316,4,True,"(-0.5, 0.5)",0.1,32,42,0.009877443313598633,0
215,0.597074730101466,0.7083333333333334,0.04286239526652166,4,True,"(-0.5, 0.5)",0.1,32,123,0.023949623107910156,1
216,0.5924389338635817,0.6134259259259259,0.045921030320829205,4,True,"(-0.5, 0.5)",0.1,32,456,0.045352935791015625,3
217,0.6039032854854545,0.7337962962962963,0.04167820461154819,4,True,"(-1.0, 1.0)",0.01,8,42,0.0527803897857666,3
218,0.5985450932747992,0.7268518518518519,0.04201808727752391,4,True,"(-1.0, 1.0)",0.01,8,123,0.060019731521606445,3
219,0.600000930084397,0.6504629629629629,0.04496473981375938,4,True,"(-1.0, 1.0)",0.01,8,456,0.07245135307312012,4
220,0.6303298297777694,0.6435185185185185,0.04516616424715403,4,True,"(-1.0, 1.0)",0.01,16,42,0.06653976440429688,4
221,0.6148640928805926,0.7222222222222222,0.042237516181770254,4,True,"(-1.0, 1.0)",0.01,16,123,0.06626129150390625,4
222,0.6333433814348686,0.6296296296296297,0.04553809874412959,4,True,"(-1.0, 1.0)",0.01,16,456,0.06950211524963379,4
223,0.7880663102897626,0.6365740740740741,0.04535724046982907,4,True,"(-1.0, 1.0)",0.01,32,42,0.0635983943939209,4
224,0.6966676285414218,0.7222222222222222,0.042237516181770254,4,True,"(-1.0, 1.0)",0.01,32,123,0.06254816055297852,4
225,0.7407715692307093,0.5486111111111112,0.0469269069410109,4,True,"(-1.0, 1.0)",0.01,32,456,0.06377220153808594,4
226,0.5996113792548352,0.6782407407407407,0.044052611738053714,4,True,"(-1.0, 1.0)",0.05,8,42,0.05071663856506348,2
227,0.5893751023588399,0.6967592592592593,0.04334603194892665,4,True,"(-1.0, 1.0)",0.05,8,123,0.07832670211791992,4
228,0.6126904470020821,0.6620370370370371,0.04460565238665043,4,True,"(-1.0, 1.0)",0.05,8,456,0.07941889762878418,4
229,0.590204440930211,0.6527777777777778,0.04489527486611558,4,True,"(-1.0, 1.0)",0.05,16,42,0.06544280052185059,4
230,0.597876924387992,0.6851851851851852,0.0437971409390823,4,True,"(-1.0, 1.0)",0.05,16,123,0.02793741226196289,1
231,0.5919229362235178,0.6712962962962963,0.044296929367674744,4,True,"(-1.0, 1.0)",0.05,16,456,0.06269001960754395,4
232,0.6131424869844923,0.6689814814814815,0.04437592217750578,4,True,"(-1.0, 1.0)",0.05,32,42,0.030363082885742188,2
233,0.5895629748857373,0.7175925925925926,0.04245132141296492,4,True,"(-1.0, 1.0)",0.05,32,123,0.05847573280334473,4
234,0.6441731496830682,0.6805555555555556,0.04396870347192746,4,True,"(-1.0, 1.0)",0.05,32,456,0.025140762329101562,1
235,0.6126415053747929,0.6597222222222222,0.04467983375412043,4,True,"(-1.0, 1.0)",0.1,8,42,0.07999467849731445,4
236,0.5951400255760343,0.6898148148148148,0.04362053444917033,4,True,"(-1.0, 1.0)",0.1,8,123,0.08082723617553711,4
237,0.64329714158962,0.6643518518518519,0.044530277405614854,4,True,"(-1.0, 1.0)",0.1,8,456,0.08932161331176758,4
238,0.5999425010166971,0.6574074074074074,0.04475282744355322,4,True,"(-1.0, 1.0)",0.1,16,42,0.0629732608795166,4
239,0.5909304379468828,0.6990740740740741,0.043251940688154945,4,True,"(-1.0, 1.0)",0.1,16,123,0.07125973701477051,4
240,0.6075604562207174,0.6736111111111112,0.0442167178128923,4,True,"(-1.0, 1.0)",0.1,16,456,0.06985855102539062,4
241,0.5890942764828817,0.6689814814814815,0.04437592217750578,4,True,"(-1.0, 1.0)",0.1,32,42,0.038495540618896484,2
242,0.5890627035678458,0.7175925925925926,0.04245132141296492,4,True,"(-1.0, 1.0)",0.1,32,123,0.05734062194824219,4
243,0.5940293118148678,0.6574074074074074,0.04475282744355322,4,True,"(-1.0, 1.0)",0.1,32,456,0.06520199775695801,4
264,0.6183299562293263,0.7106481481481481,0.042761668790578904,4,False,"(-0.1, 0.1)",0.1,8,456,0.02050185203552246,0
269,0.6221970182403472,0.7060185185185185,0.04296177648388593,4,False,"(-0.1, 0.1)",0.1,32,123,0.01656627655029297,0
291,0.6184311058729463,0.7106481481481481,0.042761668790578904,4,False,"(-0.5, 0.5)",0.1,8,456,0.02037644386291504,0
292,0.6081605013637761,0.7037037037037037,0.043059821757163316,4,False,"(-0.5, 0.5)",0.1,16,42,0.014131307601928711,0
