config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,seed,training_time,actual_hidden_units
1,0.6238049543682749,0.6967592592592593,0.04334603194892665,3,True,"(-0.1, 0.1)",0.01,42,0.019986391067504883,1
2,0.6237904111408544,0.6898148148148148,0.04362053444917033,3,True,"(-0.1, 0.1)",0.01,123,0.01974034309387207,1
3,0.6237949870876627,0.6898148148148148,0.04362053444917033,3,True,"(-0.1, 0.1)",0.01,456,0.01975274085998535,1
4,0.565719275210415,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.05,42,0.02595663070678711,1
5,0.5657192351686353,0.6643518518518519,0.044530277405614854,3,True,"(-0.1, 0.1)",0.05,123,0.025384187698364258,1
6,0.5657081235281353,0.6643518518518519,0.044530277405614854,3,True,"(-0.1, 0.1)",0.05,456,0.027263641357421875,1
7,0.44454887118860015,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.1,42,0.03696846961975098,1
8,0.44454760231490303,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.1,123,0.023712158203125,1
9,0.4445441453725665,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.1,456,0.023340940475463867,1
10,0.6239264825993468,0.6875,0.043709471969068846,3,True,"(-0.5, 0.5)",0.01,42,0.0156705379486084,1
11,0.6231619951722964,0.6736111111111112,0.0442167178128923,3,True,"(-0.5, 0.5)",0.01,123,0.004999399185180664,0
12,0.6237174531705181,0.6666666666666666,0.044453702739398415,3,True,"(-0.5, 0.5)",0.01,456,0.02133464813232422,1
13,0.5657605165406066,0.6643518518518519,0.044530277405614854,3,True,"(-0.5, 0.5)",0.05,42,0.025206804275512695,1
14,0.5657543472617326,0.6458333333333334,0.0451001792709019,3,True,"(-0.5, 0.5)",0.05,123,0.02543950080871582,1
15,0.5657919884689392,0.6550925925925926,0.04482463925709305,3,True,"(-0.5, 0.5)",0.05,456,0.02598738670349121,1
16,0.4445693494907235,0.6643518518518519,0.044530277405614854,3,True,"(-0.5, 0.5)",0.1,42,0.023160457611083984,1
17,0.4445596590761311,0.6643518518518519,0.044530277405614854,3,True,"(-0.5, 0.5)",0.1,123,0.023340463638305664,1
18,0.4445440376406194,0.6666666666666666,0.044453702739398415,3,True,"(-0.5, 0.5)",0.1,456,0.024332761764526367,1
19,0.6229030131800043,0.6944444444444444,0.043438822481537555,3,True,"(-1.0, 1.0)",0.01,42,0.011226892471313477,0
20,0.6228723681832173,0.5972222222222222,0.04625033984477027,3,True,"(-1.0, 1.0)",0.01,123,0.015914440155029297,1
21,0.6237226635016205,0.6550925925925926,0.04482463925709305,3,True,"(-1.0, 1.0)",0.01,456,0.02117013931274414,1
22,0.56578850422549,0.6643518518518519,0.044530277405614854,3,True,"(-1.0, 1.0)",0.05,42,0.025340795516967773,1
23,0.5657303001020204,0.6203703703703703,0.04576355692366518,3,True,"(-1.0, 1.0)",0.05,123,0.02515101432800293,1
24,0.5657900231749485,0.6412037037037037,0.04523099950005266,3,True,"(-1.0, 1.0)",0.05,456,0.026348114013671875,1
25,0.4446251625802506,0.6597222222222222,0.04467983375412043,3,True,"(-1.0, 1.0)",0.1,42,0.022945404052734375,1
26,0.2979138149352,0.5601851851851852,0.046807444885269014,3,True,"(-1.0, 1.0)",0.1,123,0.002008199691772461,0
27,0.44455190006319806,0.6666666666666666,0.044453702739398415,3,True,"(-1.0, 1.0)",0.1,456,0.02459573745727539,1
46,0.6152653461978217,0.7060185185185185,0.04296177648388593,3,False,"(-1.0, 1.0)",0.01,42,0.014187335968017578,0
49,0.6527150410482294,0.6527777777777778,0.04489527486611558,3,False,"(-1.0, 1.0)",0.05,42,0.007636070251464844,0
55,0.6238049543682749,0.6967592592592593,0.04334603194892665,4,True,"(-0.1, 0.1)",0.01,42,0.01947784423828125,1
56,0.6237904111408544,0.6898148148148148,0.04362053444917033,4,True,"(-0.1, 0.1)",0.01,123,0.01888298988342285,1
57,0.6237949870876627,0.6898148148148148,0.04362053444917033,4,True,"(-0.1, 0.1)",0.01,456,0.02014303207397461,1
58,0.565719275210415,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.05,42,0.025053977966308594,1
59,0.5657192351686353,0.6643518518518519,0.044530277405614854,4,True,"(-0.1, 0.1)",0.05,123,0.025025606155395508,1
60,0.5657081235281353,0.6643518518518519,0.044530277405614854,4,True,"(-0.1, 0.1)",0.05,456,0.025017976760864258,1
61,0.44454887118860015,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.1,42,0.023000717163085938,1
62,0.44454760231490303,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.1,123,0.02330183982849121,1
63,0.4445441453725665,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.1,456,0.02374100685119629,1
64,0.6239264825993468,0.6875,0.043709471969068846,4,True,"(-0.5, 0.5)",0.01,42,0.015828847885131836,1
65,0.6231619951722964,0.6736111111111112,0.0442167178128923,4,True,"(-0.5, 0.5)",0.01,123,0.004626035690307617,0
66,0.6237174531705181,0.6666666666666666,0.044453702739398415,4,True,"(-0.5, 0.5)",0.01,456,0.02119302749633789,1
67,0.5657605165406066,0.6643518518518519,0.044530277405614854,4,True,"(-0.5, 0.5)",0.05,42,0.02594280242919922,1
68,0.5657543472617326,0.6458333333333334,0.0451001792709019,4,True,"(-0.5, 0.5)",0.05,123,0.02508401870727539,1
69,0.5657919884689392,0.6550925925925926,0.04482463925709305,4,True,"(-0.5, 0.5)",0.05,456,0.026203632354736328,1
70,0.4445693494907235,0.6643518518518519,0.044530277405614854,4,True,"(-0.5, 0.5)",0.1,42,0.02256321907043457,1
71,0.4445596590761311,0.6643518518518519,0.044530277405614854,4,True,"(-0.5, 0.5)",0.1,123,0.02366328239440918,1
72,0.4445440376406194,0.6666666666666666,0.044453702739398415,4,True,"(-0.5, 0.5)",0.1,456,0.023771286010742188,1
73,0.6229030131800043,0.6944444444444444,0.043438822481537555,4,True,"(-1.0, 1.0)",0.01,42,0.010641813278198242,0
74,0.6228723681832173,0.5972222222222222,0.04625033984477027,4,True,"(-1.0, 1.0)",0.01,123,0.015468120574951172,1
75,0.6237226635016205,0.6550925925925926,0.04482463925709305,4,True,"(-1.0, 1.0)",0.01,456,0.022158384323120117,1
76,0.56578850422549,0.6643518518518519,0.044530277405614854,4,True,"(-1.0, 1.0)",0.05,42,0.024515151977539062,1
77,0.5657303001020204,0.6203703703703703,0.04576355692366518,4,True,"(-1.0, 1.0)",0.05,123,0.024209022521972656,1
78,0.5657900231749485,0.6412037037037037,0.04523099950005266,4,True,"(-1.0, 1.0)",0.05,456,0.025139808654785156,1
79,0.4446251625802506,0.6597222222222222,0.04467983375412043,4,True,"(-1.0, 1.0)",0.1,42,0.0228574275970459,1
80,0.2979138149352,0.5601851851851852,0.046807444885269014,4,True,"(-1.0, 1.0)",0.1,123,0.002081632614135742,0
81,0.44455190006319806,0.6666666666666666,0.044453702739398415,4,True,"(-1.0, 1.0)",0.1,456,0.02296304702758789,1
100,0.6152653461978217,0.7060185185185185,0.04296177648388593,4,False,"(-1.0, 1.0)",0.01,42,0.014637470245361328,0
103,0.6527150410482294,0.6527777777777778,0.04489527486611558,4,False,"(-1.0, 1.0)",0.05,42,0.005913257598876953,0
109,0.6238049543682749,0.6967592592592593,0.04334603194892665,5,True,"(-0.1, 0.1)",0.01,42,0.018691062927246094,1
110,0.6237904111408544,0.6898148148148148,0.04362053444917033,5,True,"(-0.1, 0.1)",0.01,123,0.020183086395263672,1
111,0.6237949870876627,0.6898148148148148,0.04362053444917033,5,True,"(-0.1, 0.1)",0.01,456,0.020552873611450195,1
112,0.565719275210415,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.05,42,0.02518010139465332,1
113,0.5657192351686353,0.6643518518518519,0.044530277405614854,5,True,"(-0.1, 0.1)",0.05,123,0.025212526321411133,1
114,0.5657081235281353,0.6643518518518519,0.044530277405614854,5,True,"(-0.1, 0.1)",0.05,456,0.026128292083740234,1
115,0.44454887118860015,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.1,42,0.023061275482177734,1
116,0.44454760231490303,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.1,123,0.02995133399963379,1
117,0.4445441453725665,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.1,456,0.023439407348632812,1
118,0.6239264825993468,0.6875,0.043709471969068846,5,True,"(-0.5, 0.5)",0.01,42,0.015964031219482422,1
119,0.6231619951722964,0.6736111111111112,0.0442167178128923,5,True,"(-0.5, 0.5)",0.01,123,0.005335092544555664,0
120,0.6237174531705181,0.6666666666666666,0.044453702739398415,5,True,"(-0.5, 0.5)",0.01,456,0.022113561630249023,1
121,0.5657605165406066,0.6643518518518519,0.044530277405614854,5,True,"(-0.5, 0.5)",0.05,42,0.026047468185424805,1
122,0.5657543472617326,0.6458333333333334,0.0451001792709019,5,True,"(-0.5, 0.5)",0.05,123,0.02512812614440918,1
123,0.5657919884689392,0.6550925925925926,0.04482463925709305,5,True,"(-0.5, 0.5)",0.05,456,0.025626182556152344,1
124,0.4445693494907235,0.6643518518518519,0.044530277405614854,5,True,"(-0.5, 0.5)",0.1,42,0.023315906524658203,1
125,0.4445596590761311,0.6643518518518519,0.044530277405614854,5,True,"(-0.5, 0.5)",0.1,123,0.023385286331176758,1
126,0.4445440376406194,0.6666666666666666,0.044453702739398415,5,True,"(-0.5, 0.5)",0.1,456,0.023124217987060547,1
127,0.6229030131800043,0.6944444444444444,0.043438822481537555,5,True,"(-1.0, 1.0)",0.01,42,0.0113372802734375,0
128,0.6228723681832173,0.5972222222222222,0.04625033984477027,5,True,"(-1.0, 1.0)",0.01,123,0.015781879425048828,1
129,0.6237226635016205,0.6550925925925926,0.04482463925709305,5,True,"(-1.0, 1.0)",0.01,456,0.021913766860961914,1
130,0.56578850422549,0.6643518518518519,0.044530277405614854,5,True,"(-1.0, 1.0)",0.05,42,0.02394580841064453,1
131,0.5657303001020204,0.6203703703703703,0.04576355692366518,5,True,"(-1.0, 1.0)",0.05,123,0.024153470993041992,1
132,0.5657900231749485,0.6412037037037037,0.04523099950005266,5,True,"(-1.0, 1.0)",0.05,456,0.025363683700561523,1
133,0.4446251625802506,0.6597222222222222,0.04467983375412043,5,True,"(-1.0, 1.0)",0.1,42,0.022913217544555664,1
134,0.2979138149352,0.5601851851851852,0.046807444885269014,5,True,"(-1.0, 1.0)",0.1,123,0.002219676971435547,0
135,0.44455190006319806,0.6666666666666666,0.044453702739398415,5,True,"(-1.0, 1.0)",0.1,456,0.02298593521118164,1
154,0.6152653461978217,0.7060185185185185,0.04296177648388593,5,False,"(-1.0, 1.0)",0.01,42,0.014304161071777344,0
157,0.6527150410482294,0.6527777777777778,0.04489527486611558,5,False,"(-1.0, 1.0)",0.05,42,0.005883932113647461,0
163,0.6238049543682749,0.6967592592592593,0.04334603194892665,6,True,"(-0.1, 0.1)",0.01,42,0.018700838088989258,1
164,0.6237904111408544,0.6898148148148148,0.04362053444917033,6,True,"(-0.1, 0.1)",0.01,123,0.01930975914001465,1
165,0.6237949870876627,0.6898148148148148,0.04362053444917033,6,True,"(-0.1, 0.1)",0.01,456,0.02015829086303711,1
166,0.565719275210415,0.6666666666666666,0.044453702739398415,6,True,"(-0.1, 0.1)",0.05,42,0.025590181350708008,1
167,0.5657192351686353,0.6643518518518519,0.044530277405614854,6,True,"(-0.1, 0.1)",0.05,123,0.02505970001220703,1
168,0.5657081235281353,0.6643518518518519,0.044530277405614854,6,True,"(-0.1, 0.1)",0.05,456,0.02475571632385254,1
169,0.44454887118860015,0.6666666666666666,0.044453702739398415,6,True,"(-0.1, 0.1)",0.1,42,0.022925853729248047,1
170,0.44454760231490303,0.6666666666666666,0.044453702739398415,6,True,"(-0.1, 0.1)",0.1,123,0.022560596466064453,1
171,0.4445441453725665,0.6666666666666666,0.044453702739398415,6,True,"(-0.1, 0.1)",0.1,456,0.023626327514648438,1
172,0.6239264825993468,0.6875,0.043709471969068846,6,True,"(-0.5, 0.5)",0.01,42,0.01541900634765625,1
173,0.6231619951722964,0.6736111111111112,0.0442167178128923,6,True,"(-0.5, 0.5)",0.01,123,0.004723072052001953,0
174,0.6237174531705181,0.6666666666666666,0.044453702739398415,6,True,"(-0.5, 0.5)",0.01,456,0.021058320999145508,1
175,0.5657605165406066,0.6643518518518519,0.044530277405614854,6,True,"(-0.5, 0.5)",0.05,42,0.024970293045043945,1
176,0.5657543472617326,0.6458333333333334,0.0451001792709019,6,True,"(-0.5, 0.5)",0.05,123,0.024825334548950195,1
177,0.5657919884689392,0.6550925925925926,0.04482463925709305,6,True,"(-0.5, 0.5)",0.05,456,0.02523207664489746,1
178,0.4445693494907235,0.6643518518518519,0.044530277405614854,6,True,"(-0.5, 0.5)",0.1,42,0.022924423217773438,1
179,0.4445596590761311,0.6643518518518519,0.044530277405614854,6,True,"(-0.5, 0.5)",0.1,123,0.023181915283203125,1
180,0.4445440376406194,0.6666666666666666,0.044453702739398415,6,True,"(-0.5, 0.5)",0.1,456,0.022948026657104492,1
181,0.6229030131800043,0.6944444444444444,0.043438822481537555,6,True,"(-1.0, 1.0)",0.01,42,0.010677576065063477,0
182,0.6228723681832173,0.5972222222222222,0.04625033984477027,6,True,"(-1.0, 1.0)",0.01,123,0.01588606834411621,1
183,0.6237226635016205,0.6550925925925926,0.04482463925709305,6,True,"(-1.0, 1.0)",0.01,456,0.021336793899536133,1
184,0.56578850422549,0.6643518518518519,0.044530277405614854,6,True,"(-1.0, 1.0)",0.05,42,0.02602553367614746,1
185,0.5657303001020204,0.6203703703703703,0.04576355692366518,6,True,"(-1.0, 1.0)",0.05,123,0.024273395538330078,1
186,0.5657900231749485,0.6412037037037037,0.04523099950005266,6,True,"(-1.0, 1.0)",0.05,456,0.026064634323120117,1
187,0.4446251625802506,0.6597222222222222,0.04467983375412043,6,True,"(-1.0, 1.0)",0.1,42,0.02309417724609375,1
188,0.2979138149352,0.5601851851851852,0.046807444885269014,6,True,"(-1.0, 1.0)",0.1,123,0.002004384994506836,0
189,0.44455190006319806,0.6666666666666666,0.044453702739398415,6,True,"(-1.0, 1.0)",0.1,456,0.02320408821105957,1
208,0.6152653461978217,0.7060185185185185,0.04296177648388593,6,False,"(-1.0, 1.0)",0.01,42,0.014524221420288086,0
211,0.6527150410482294,0.6527777777777778,0.04489527486611558,6,False,"(-1.0, 1.0)",0.05,42,0.005919694900512695,0
